name,rarity,rank,type
Makeshift Armor I,Silver,S,Combat
Restart Mission,Silver,S,Econ
Rolling For Days I,Silver,S,Econ
Band of Thieves,Silver,A,Items
Exiles I,Silver,A,Combat
Firesale,Silver,A,Econ
Item Grab Bag,Silver,A,Items
Late Game Specialist,Silver,A,Econ;Scaling;Econ;Scaling
Missed Connections,Silver,A,Econ
Pandora’s Items,Silver,A,Items
Placebo+,Silver,A,Econ;Combat;Econ;Combat
Second Wind,Silver,A,Combat
Stand United,Silver,A,Combat;Strategic;Combat;Strategic
Titanic Titan,Silver,A,Strategic
Air Axiom,Silver,B,Combat
Best Friends I,Silver,B,Combat
Boxing Lessons,Silver,B,Combat
Celestial Blessing I,Silver,B,Combat
Corrosion,Silver,B,Combat
Dummify,Silver,B,Combat;Strategic;Combat;Strategic
Earth Axiom,Silver,B,Combat
Eye For An Eye+,Silver,B,Items;Scaling;Items;Scaling
Fire Axiom,Silver,B,Combat
Glass Cannon I,Silver,B,Combat
Healing Orbs I,Silver,B,Combat
Lineup,Silver,B,Combat
On a Roll,Silver,B,Econ;Scaling;Econ;Scaling
Silver Destiny+,Silver,B,Econ;Strategic;Econ;Strategic
Small Grab Bag,Silver,B,Items
Team Building,Silver,B,Econ
Teaming Up,Silver,B,Items;Econ;Items;Econ
Water Axiom,Silver,B,Combat
Augmented Power,Silver,C,Scaling;Strategic;Scaling;Strategic
Big Friend I,Silver,C,Combat
Branching Out+,Silver,C,Traits;Strategic;Traits;Strategic
Find Your Center,Silver,C,Combat
Focused Fire,Silver,C,Combat
Recombobulator,Silver,C,Econ
Twin Guardians,Silver,C,Combat
Lunch Money,Silver,D,Econ
Epic Rolldown,Gold,S,Econ;Scaling;Econ;Scaling
Forward Thinking,Gold,S,Econ
Indecision I,Gold,S,Econ;Scaling;Econ;Scaling
Indecision II,Gold,S,Econ;Strategic;Econ;Strategic
Unsealed From Steel,Gold,S,
A Magic Roll,Gold,A,Strategic
Big Grab Bag,Gold,A,Items
Exclusive Customization,Gold,A,Items
Jeweled Lotus I,Gold,A,Combat
Know Your Enemy,Gold,A,Combat
Last Second Save,Gold,A,Combat
Makeshift Armor II,Gold,A,Combat
Mess Hall,Gold,A,Combat
Pilfer,Gold,A,Econ
Portable Forge,Gold,A,Items
Slammin’+,Gold,A,Items;Econ;Items;Econ
Advanced Loan+,Gold,B,Econ;Strategic;Econ;Strategic
Band of Thieves II+,Prismatic,S,Items
Coronation,Prismatic,S,Combat
Upward Mobility,Prismatic,S,Econ
Belt Overflow,Prismatic,A,Items;Combat;Items;Combat
Bronze For Life II,Prismatic,A,Combat
Giant and Mighty,Prismatic,A,Combat
Invested+,Prismatic,A,Econ
Prismatic Ticket,Prismatic,A,Econ
Retribution,Prismatic,A,Items;Combat;Items;Combat
Sweet Treats,Prismatic,A,Items;Combat;Items;Combat
Construct a Companion,Prismatic,B,Econ;Strategic;Econ;Strategic
Hold the Line,Prismatic,B,Combat
Jeweled Lotus II,Prismatic,B,Combat
Lucky Gloves+,Prismatic,B,Items
Luxury Subscription,Prismatic,B,Econ;Scaling;Econ;Scaling
Min-Max,Prismatic,B,Items
"One Buff, Two Buff",Prismatic,B,Items;Econ;Items;Econ
Pandora’s Items III,Prismatic,B,Items
Prismatic Destiny+,Prismatic,B,Econ;Strategic;Econ;Strategic
Radiant Rascal,Prismatic,B,Items
Radiant Relics,Prismatic,B,Items
Soul Awakening,Prismatic,B,Combat
Sword Overflow,Prismatic,B,Items
The Trait Tree+,Prismatic,B,Items;Econ;Strategic;Items;Econ;Strategic
Tiniest Titan,Prismatic,B,Econ;Strategic;Econ;Strategic
"Tiny, but Deadly",Prismatic,B,Combat
Trifecta II,Prismatic,B,Econ;Combat;Econ;Combat
Wand Overflow,Prismatic,B,Items
Win Out,Prismatic,B,Econ;Scaling;Econ;Scaling
Celestial Blessing III,Prismatic,C,Combat
Cursed Crown,Prismatic,C,Combat;Strategic;Combat;Strategic
Walk The True Path II,Prismatic,C,Econ;Traits;Econ;Traits
