name,rarity,tier,type
Makeshift Armor I,Silver,S,Combat
Rolling For Days I,Silver,S,Econ
Band of Thieves,Silver,A,Items
Exiles I,Silver,A,Combat
Item Grab Bag,Silver,A,Items
Missed Connections,Silver,A,Econ
Pandora’s Items,Silver,A,Items
Second Wind,Silver,A,Combat
Stand United,Silver,A,Combat;Strategic;Combat;Strategic
Air Axiom,Silver,B,Combat
Best Friends I,Silver,B,Combat
Boxing Lessons,Silver,B,Combat
Celestial Blessing I,Silver,B,Combat
Corrosion,Silver,B,Combat
Earth Axiom,Silver,B,Combat
Fire Axiom,Silver,B,Combat
Glass Cannon I,Silver,B,Combat
Healing Orbs I,Silver,B,Combat
Lineup,Silver,B,Combat
"One, Two, Five!",Silver,B,Items;Econ;Items;Econ
Small Grab Bag,Silver,B,Items
Teaming Up,Silver,B,Items;Econ;Items;Econ
Water Axiom,Silver,B,Combat
Big Friend I,Silver,C,Combat
Find Your Center,Silver,C,Combat
Focused Fire,Silver,C,Combat
Twin Guardians,Silver,C,Combat
Max Build,Gold,S,Econ;Scaling;Econ;Scaling
Staffsmith,Gold,S,Items
Swordsmith,Gold,S,Items
Unsealed From Steel,Gold,S,
3 Threes,Gold,A,Econ
Big Grab Bag,Gold,A,Items
Exclusive Customization,Gold,A,Items
Jeweled Lotus I,Gold,A,Combat
Know Your Enemy,Gold,A,Combat
Last Second Save,Gold,A,Combat
Makeshift Armor II,Gold,A,Combat
Mess Hall,Gold,A,Combat
Pilfer,Gold,A,Econ
Portable Forge,Gold,A,Items
ReinFOURcement,Gold,A,Econ
Best Friends II,Gold,B,Combat
Bronze For Life I,Gold,B,Combat
Celestial Blessing II,Gold,B,Combat
Chaos Magic,Gold,B,Combat;Traits;Combat;Traits
Clockwork Accelerator,Gold,B,Combat
Crash Test Dummies,Gold,B,Combat
Crown’s Will,Gold,B,Items;Combat;Items;Combat
Defense of the Placidium,Gold,B,Combat;Traits;Combat;Traits
Duo Queue,Gold,B,Items;Econ;Items;Econ
Exiles II,Gold,B,Combat
Explosive Growth+,Gold,B,Econ
Glass Cannon II,Gold,B,Combat
Heroic Grab Bag++,Gold,B,Econ
Indiscriminate Killer,Gold,B,Items;Combat;Items;Combat
Little Buddies,Gold,B,Combat
Mace’s Will,Gold,B,Items;Combat;Items;Combat
Malicious Monetization,Gold,B,Econ
Pair of Fours,Gold,B,Combat
Pandora’s Items II,Gold,B,Items;Scaling;Items;Scaling
Plot Armor,Gold,B,Combat
Precision and Grace,Gold,B,Combat
Salvage Bin+,Gold,B,Items
Sentinels of Light,Gold,B,Combat;Strategic;Combat;Strategic
Spirit Link,Gold,B,Combat
Tons of Stats!,Gold,B,Combat
Trifecta I,Gold,B,Econ;Combat;Econ;Combat
U.R.F,Gold,B,Items;Combat;Items;Combat
Arcane Viktor-y,Gold,C,Combat
Ascension,Gold,C,Combat
Darkwill’s Invasion,Gold,C,Combat;Traits;Combat;Traits
Healing Orbs II,Gold,C,Combat
Kahunahuna,Gold,C,Combat
Silco’s Revenge,Gold,C,Combat;Traits;Combat;Traits
Spear’s Will,Gold,C,Items;Combat;Items;Combat
Band of Thieves II++,Prismatic,S,Items
Coronation,Prismatic,S,Combat
Growth Mindset,Prismatic,S,Econ
Invested++,Prismatic,S,Econ
Upward Mobility,Prismatic,S,Econ
Belt Overflow,Prismatic,A,Items;Combat;Items;Combat
Bronze For Life II,Prismatic,A,Combat
Call to Chaos,Prismatic,A,Strategic
Commerce Core,Prismatic,A,Econ
Giant and Mighty,Prismatic,A,Combat
Just Hit,Prismatic,A,Econ
Money Monsoon,Prismatic,A,Econ;Scaling;Econ;Scaling
Retribution,Prismatic,A,Items;Combat;Items;Combat
Sweet Treats,Prismatic,A,Items;Combat;Items;Combat
Chosen Wolves,Prismatic,B,Combat;Strategic;Combat;Strategic
Component Heist,Prismatic,B,Items
Dragonguards,Prismatic,B,Econ;Combat;Strategic;Econ;Combat;Strategic
Hold the Line,Prismatic,B,Combat
Jeweled Lotus II,Prismatic,B,Combat
Lucky Gloves+,Prismatic,B,Items
"One Buff, Two Buff",Prismatic,B,Items;Econ;Items;Econ
Radiant Rascal,Prismatic,B,Items
Radiant Relics,Prismatic,B,Items
Soul Awakening,Prismatic,B,Combat
Sword Overflow,Prismatic,B,Items
"Tiny, but Deadly",Prismatic,B,Combat
Trifecta II,Prismatic,B,Econ;Combat;Econ;Combat
Wand Overflow,Prismatic,B,Items
Celestial Blessing III,Prismatic,C,Combat
The Golden Egg,Prismatic,C,Items;Econ;Scaling;Items;Econ;Scaling
