match_id,puuid,placement,level,last_round
NA1_5433864382,i5MHAVvrBlVtESxG0aC5lB4Rzqix40AnvDhuMFu1TYjF1_KnxaU0yI2_QOM6qtzGoJYuK3freWOSpA,6,9,28
NA1_5433864382,SZ-F42COa-Tmzd4AK9F7fA2rnrSotOET2ZU6TN9W201prZJOUYwh-SALoZ7HIrQ5AnwQNALKM1b4Ew,4,9,31
NA1_5433864382,pjOOh9T-WrIoNzNNUOk2xeeZq9Tx1A5GnRHifftdB0L_im1wBDNzqkfDaNOGhNr0MTb52qlKWj4rEw,3,9,33
NA1_5433864382,Lsk2I_IP2970hJ8_y6TLxpwROKwgl25vJ0ywx6ucU83UskE4JXADMgA5WkTvJ9t16RFIpcPXcK3lzQ,7,9,26
NA1_5433864382,v-Xfofpi1rCdoDotdLM_3w9_JDrv3p7bJ8o2nn0kMYlthT__i7FXfaDdIepmVbkOF_TTvrQiWOtDAQ,1,10,38
NA1_5433864382,T5VA1fv3f1LdezTmpRZTOVFpVltwS-ZgVylnderHHGTNOQI6Au05dxHaIFC2012Hjdnpqmr8UocRmQ,8,8,26
NA1_5433864382,NNusevp0U0BH1sWXXmyJmtx3u4z-tMsfcPBEVPhsNSrvx-Yq0H7XDgAcr8IlP0PNKbArbzIzJcDPTQ,2,10,38
NA1_5433864382,KnVp1ZslVeMAN63-jHQ1IeETnwBsI1-422hxXmS5ziaUlnz7u0HcWkJOjTn0_k5ZwJgjfPXbxnp8Ng,5,8,30
NA1_5432547853,WU83u4Hovf0dWFf6XE0hdrbw9uGTYn_OUnf6-E2r5SDXreKwiK0QF0VzgYwazCenX-VDItNwvQXFuQ,5,9,33
NA1_5432547853,mwujS7lBvn0dtUqd2gn9NukxZ7gYBvAA20MpmRatS1l-sAIP9cD2efQBM9Kf6M9RMPSXj4EDthSgdQ,1,10,34
NA1_5432547853,pSHfmhXiA7HlT3PNtivGd7QSsy_Qozz_6fvHUy1_d1Me8jA2GFBmz13snMFEgdTw2YhVX2gRVa8vOg,6,9,28
NA1_5432547853,gWH_4At6sBchqJVcFHCci3U1wgaKFihPhCr-sEaC3Y8UsiD-WMWNWb62_pRNU-gebXyiKZPpeNRvow,4,9,33
NA1_5432547853,UoJ0k7EuusV2jKcifquSmrgJ-hIkzkic26h2ReudRr-h7eRsIU14JJwUzDbiDMa1kWT8lu9m_6ksSQ,7,9,28
NA1_5432547853,IR7K5PK1-2zSy2KCyypHh8_6N51HkWbTQUWVFeFIHUpMnxg3IL1ww9XID1nt_xMlKM7y76YFusDJLw,3,10,34
NA1_5432547853,i1CDH04Tjtc3p8DjASDlt3NaXiEMcnNjJLyWX1-1OmnyRVc-08mNmhBGsrEaeL51O7MntFRZKDoTbw,2,9,34
NA1_5432547853,m73JeoMYHOJxAEs0lFw93ovGsJNg9oE2WeonjbaTkoW9gCSrPUCk5JMtCwqHWzw-uNFQVqtafrYtpg,8,9,27
NA1_5433906625,3hc7wNabUf_CRbIas0NtNE8E3MzUPEUyinoEDrXxunICKuWbWsku9ODny9QZMwRMkYKXkmJGRoYOkA,2,10,41
NA1_5433906625,gWH_4At6sBchqJVcFHCci3U1wgaKFihPhCr-sEaC3Y8UsiD-WMWNWb62_pRNU-gebXyiKZPpeNRvow,6,8,27
NA1_5433906625,vz_zw0j9A4sjZCsIwmaFhpVZPgCwHZxvssIn7it9moHJsPkIr0a2z0jjVTfXKvnR3mI8yvzyo7nRfQ,8,8,23
NA1_5433906625,dleGSwAyBJqy0Y4lyo-xru_UEOwajuXUiYyhbpfvjmjHgeQziJ6QY6CdNmPFA9EoIHePpHp8fkBD7w,5,8,31
NA1_5433906625,4v9LBxwif3lP5mWNxP4JLprs5FtqH6UcShLMl8ja3nuzB8FvDCCnQ83eKvUH1obp5C0ae6LHJsMJyg,1,10,41
NA1_5433906625,mwujS7lBvn0dtUqd2gn9NukxZ7gYBvAA20MpmRatS1l-sAIP9cD2efQBM9Kf6M9RMPSXj4EDthSgdQ,3,9,37
NA1_5433906625,uOMjWQn5zLCbklgutPh1W9plSATmNc8NaEacZntv5uS5gEKkhggIZZK4PX0HrHMMZJkfnclN_-xE9Q,7,8,24
NA1_5433906625,Q88NaH917LbXvFvG_iL8cyuzbv3zRuLsS-Anh0t1yDkaHSFVULu448dqSizWappkKI08WaNiu6_xpg,4,9,35
NA1_5434975091,bkyyhBAPFB-cZBX3wvUucX5R7rn9oXfEpBpt9g_XjK2BCsfVT72vxzOpAUE1cTVKu8rJID2JhJFnIQ,2,10,37
NA1_5434975091,6NqnviE-hp_uVkUjvkZZYqv6wp8c4FzXcKbQh9KnHDnpZd8iOhPm4DA1rOeSG6SpPLtU2wFEcxUkAg,5,9,31
NA1_5434975091,5BCGsdDoYIErEnu9qSIuStuG7oLsD0_oF8f48kdug80LcoQqp6C_dJPmVDnNSJxfUVBHWJuG0It3aQ,3,8,34
NA1_5434975091,bV6lW1Qtszzriw1W_YRC6JPAD5KG-t-6Bt6tmJXIE7Kl5Di2GmbC7ZdBZ-KgLeuesFzDZHo3xYR_BA,4,9,31
NA1_5434975091,ssx2zpeiDhPqlWRciXflAEH3DHqfyjlVU-Am5QqKMgvN_uLRcboruOqatnF-c7pBukaGEFR5xmA7Fw,1,10,37
NA1_5434975091,MuIDOH1noa_mQtNCj61yZnAH-gJd9vaS7eoTTNs23_kj8xZARlZg-N6g2VGjzbSPhNLcrllM_TXibQ,7,8,28
NA1_5434975091,MIY0HzqyJ2Skc8tjNnE6boi_AGZ68wHFI_mlQN0etqK9XbLolDglxq_sj81OtqAspL7_iSbjwYNLeQ,8,7,26
NA1_5434975091,dleGSwAyBJqy0Y4lyo-xru_UEOwajuXUiYyhbpfvjmjHgeQziJ6QY6CdNmPFA9EoIHePpHp8fkBD7w,6,9,30
NA1_5435349627,Q1jU8rfiFy71YR8E5j1Uyg7P5SNxodEw0Wyt9lugvwCVWmwO7zPj_5D3FB26XlfDZbR1Z4mzUdnMlg,4,8,31
NA1_5435349627,1w4FztzTN94kkok9RZHZ4WX6X-1zs1Nxc68A-xRAReZ0Mmm_seRf9a5R1EP27Xm5uxxMRj1cmHaWHA,5,8,31
NA1_5435349627,LAx0Rg1498bEAmcEFaQ0kkSZydoI-X6z8HsKexvrC73zGHT33PWGztQGUgWTD3yBF9uzcM06_VmcgQ,6,7,31
NA1_5435349627,RSbiQYQSjMygPJuA04djC_7PLMbhj_eQvw4mX0zMOsaGYcyiMQ51n7lqL116-S3YrYA9CM2-7Y-Ifw,8,9,26
NA1_5435349627,y_hH2ZyQ3AuD5j46K_dMyXwIBCFLWKmDG2dthMWfV8GndsucjLci3PA8LJwA66yIbklR_piv3QP3Lg,2,10,34
NA1_5435349627,sk9Tmi2CqxaSG9Y282pWpR57clPPXGLlovFyHf9aqDUKRoFWM1Dth_CZrIYmQY2LYBMBwP7zrgQfOQ,3,9,33
NA1_5435349627,i5nJqf_4NEncAotn3-983hkHIFSinCp3PT44RxB4Rg0Z0IT2PtgLBqh6stFE7RfO_wBA1yp9RVVZuw,1,10,34
